2023-11-16T13:04:09.217811 None
2023-11-16T13:04:09.731253 None
2023-11-16T13:04:10.243052 None
2023-11-16T13:04:10.751027 None
2023-11-16T13:04:11.261401 None
2023-11-16T13:04:11.774449 None
2023-11-16T13:04:12.287889 None
2023-11-16T13:04:12.799721 None
2023-11-16T13:04:13.307585 None
2023-11-16T13:04:13.817989 None
2023-11-16T13:04:14.329342 None
2023-11-16T13:04:14.843119 None
2023-11-16T13:04:15.355742 None
2023-11-16T13:04:15.863692 None
2023-11-16T13:04:16.375927 None
2023-11-16T13:04:16.891102 None
2023-11-16T13:04:17.398916 None
2023-11-16T13:04:17.909321 None
2023-11-16T13:04:18.420751 None
2023-11-16T13:04:18.934724 None
2023-11-16T13:07:16.856174 13725 1.715552354503006
2023-11-16T13:07:17.438367 13753 1.7189274575029754
2023-11-16T13:07:18.029827 13725 1.7165523850215156
2023-11-16T13:07:18.606538 13721 1.7148023316141239
2023-11-16T13:07:19.186321 13665 1.705677053132725
2023-11-16T13:07:19.764876 13687 1.7106772057252724
2023-11-16T13:07:20.348250 13658 1.707677114169744
2023-11-16T13:07:20.924227 13612 1.701301919614246
2023-11-16T13:07:21.499369 13587 1.6991768547624133
2023-11-16T13:07:22.075342 13617 1.701801934873501
2023-11-16T13:07:22.656544 13561 1.6946767174291208
2023-11-16T13:07:23.237806 13548 1.6926766563921019
2023-11-16T13:07:23.814857 13566 1.6955517441328165
2023-11-16T13:07:24.392824 13544 1.6920516373180334
2023-11-16T13:07:24.972349 13533 1.6918016296884062
2023-11-16T13:07:25.555324 13471 1.6840513931699574
2023-11-16T13:07:26.135180 13500 1.6864264656514176
2023-11-16T13:07:26.713340 13486 1.6856764427625355
2023-11-16T13:07:27.292716 13423 1.677551194799646
2023-11-16T13:07:27.870948 13451 1.6811763054292428
2023-11-16T13:07:28.453070 13424 1.677551194799646
2023-11-16T13:07:29.036827 13360 1.6705509811700798
2023-11-16T13:07:29.613149 13397 1.6743010956144901
2023-11-16T13:07:30.194900 13252 1.6438001647999512
2023-11-16T13:07:30.773492 13321 1.6640507827997681
2023-11-16T13:07:31.352693 13333 1.6666758629108556
2023-11-16T13:07:31.932987 13284 1.658550614947966
2023-11-16T13:07:32.506368 13268 1.6584256111331521
2023-11-16T13:07:33.083486 13292 1.6613006988738672
2023-11-16T13:07:33.722976 13230 1.6536754661702324
2023-11-16T13:07:34.296294 13244 1.655800531022065
2023-11-16T13:07:34.873888 13221 1.6503003631702629
2023-11-16T13:07:35.456134 13209 1.6508003784295175
2023-11-16T13:07:36.037778 13196 1.6499253517258217
2023-11-16T13:07:36.619829 13173 1.6465502487258523
2023-11-16T13:07:37.199232 13164 1.6455502182073427
2023-11-16T13:07:37.805359 13147 1.6431751457258827
2023-11-16T13:07:38.387073 13130 1.6408000732444226
2023-11-16T13:07:38.964004 13111 1.6384250007629628
2023-11-16T13:07:39.543591 13094 1.6320498062074649
2023-11-16T13:07:40.124790 13058 1.632424817651906
2023-11-16T13:07:40.705384 13015 1.6269246498001038
2023-11-16T13:07:41.285525 13027 1.6281746879482406
2023-11-16T13:07:41.860986 13024 1.628049684133427
2023-11-16T13:07:42.439519 13007 1.6257996154667806
2023-11-16T13:07:43.019414 12991 1.6235495468001342
2023-11-16T13:07:43.601725 12976 1.6204244514297923
2023-11-16T13:07:44.187152 12959 1.6167993408001955
2023-11-16T13:07:44.765984 12940 1.6166743369853815
2023-11-16T13:07:45.345584 12880 1.609799127170629
2023-11-16T13:07:45.922572 12897 1.6122992034669026
2023-11-16T13:07:46.504372 12888 1.6107991576891385
2023-11-16T13:07:47.088996 12862 1.6080490737632376
2023-11-16T13:07:47.666847 12855 1.6069240394299142
2023-11-16T13:07:48.247212 12838 1.6039239478743859
2023-11-16T13:07:48.828878 12820 1.602673909726249
2023-11-16T13:07:49.414417 12789 1.5994238105410932
2023-11-16T13:07:49.998403 12789 1.5977987609485154
2023-11-16T13:07:50.574975 12724 1.590798547318949
2023-11-16T13:07:51.150385 12752 1.5935486312448501
2023-11-16T13:07:51.732297 12735 1.5912985625782037
2023-11-16T13:07:52.314290 12717 1.5894235053559984
2023-11-16T13:07:52.897826 12701 1.5866734214300973
2023-11-16T13:07:53.473853 12684 1.5856733909115879
2023-11-16T13:07:54.053611 12671 1.583298318430128
2023-11-16T13:07:54.635052 12655 1.5817982726523636
2023-11-16T13:07:55.218233 12587 1.5741730399487288
2023-11-16T13:07:55.790788 12576 1.5717979674672689
2023-11-16T13:07:56.365924 12594 1.5737980285042878
2023-11-16T13:07:56.945574 12538 1.5676728415784174
2023-11-16T13:07:57.524525 12565 1.5699229102450638
2023-11-16T13:07:58.108362 12548 1.5684228644672995
2023-11-16T13:07:58.685160 12486 1.5609226355784784
2023-11-16T13:07:59.260551 12505 1.5636727195043794
2023-11-16T13:07:59.842426 12445 1.5556724753563036
2023-11-16T13:08:00.423778 12463 1.5575475325785089
